iter	Passed	Remaining
0	2	269
1	4	242
2	7	229
3	8	215
4	11	213
5	13	208
6	15	203
7	17	201
8	19	197
9	21	194
10	23	192
11	25	190
12	27	186
13	30	184
14	32	182
15	34	179
16	36	175
17	38	173
18	40	171
19	42	169
20	44	168
21	46	165
22	48	163
23	50	161
24	53	159
25	55	156
26	56	154
27	59	152
28	61	150
29	63	148
30	65	146
31	67	143
32	69	141
33	71	139
34	74	137
35	76	135
36	78	132
37	80	131
38	82	128
39	84	126
40	86	124
41	87	120
42	89	118
43	91	116
44	93	114
45	95	112
46	97	110
47	100	108
48	102	106
49	104	104
50	106	102
51	108	100
52	110	98
53	112	96
54	114	93
55	116	91
56	118	89
57	120	87
58	122	85
59	124	83
60	126	81
61	129	79
62	131	77
63	133	75
64	135	73
65	137	70
66	139	68
67	142	66
68	144	64
69	146	62
70	148	60
71	150	58
72	152	56
73	155	54
74	157	52
75	159	50
76	161	48
77	163	46
78	165	43
79	167	41
80	170	39
81	172	37
82	174	35
83	176	33
84	178	31
85	180	29
86	182	27
87	184	25
88	186	23
89	188	20
90	191	18
91	193	16
92	195	14
93	197	12
94	199	10
95	201	8
96	203	6
97	205	4
98	207	2
99	209	0
