iter	Passed	Remaining
0	180	180333
1	183	91353
2	184	61464
3	187	46571
4	189	37723
5	192	31829
6	194	27565
7	197	24510
8	199	21996
9	201	19956
10	204	18352
11	206	16980
12	207	15780
13	209	14783
14	211	13892
15	213	13130
16	215	12463
17	217	11839
18	218	11295
19	220	10823
20	222	10383
21	224	9974
22	226	9609
23	227	9265
24	229	8965
25	231	8676
26	233	8421
27	235	8163
28	236	7928
29	238	7706
30	239	7496
31	242	7328
32	244	7160
33	246	6994
34	248	6843
35	250	6700
36	252	6559
37	254	6438
38	257	6339
39	259	6216
40	260	6104
41	263	6002
42	265	5903
43	267	5806
44	268	5705
45	270	5611
46	272	5531
47	274	5448
48	276	5370
49	278	5298
50	280	5221
51	282	5145
52	283	5073
53	285	5007
54	288	4949
55	290	4889
56	292	4832
57	293	4771
58	295	4712
59	297	4657
60	299	4605
61	301	4554
62	302	4501
63	304	4451
64	306	4406
65	308	4359
66	309	4313
67	311	4271
68	313	4231
69	315	4198
70	317	4158
71	319	4117
72	321	4078
73	322	4039
74	325	4012
75	326	3975
76	328	3938
77	330	3909
78	332	3878
79	334	3845
80	336	3816
81	338	3784
82	339	3747
83	340	3716
84	342	3688
85	344	3662
86	346	3641
87	348	3614
88	350	3588
89	352	3560
90	353	3535
91	355	3508
92	357	3482
93	358	3458
94	360	3437
95	362	3412
96	363	3386
97	365	3365
98	367	3342
99	368	3318
100	370	3294
101	371	3270
102	373	3248
103	374	3227
104	375	3204
105	377	3183
106	379	3164
107	380	3145
108	382	3128
109	384	3110
110	386	3093
111	388	3078
112	389	3059
113	391	3041
114	393	3024
115	394	3006
116	395	2985
117	397	2967
118	398	2950
119	399	2932
120	401	2915
121	402	2899
122	404	2885
123	407	2879
124	410	2874
125	412	2860
126	413	2843
127	415	2828
128	416	2814
129	418	2801
130	420	2788
131	421	2774
132	423	2760
133	425	2747
134	426	2734
135	428	2723
136	430	2711
137	432	2700
138	435	2695
139	437	2686
140	439	2674
141	440	2659
142	441	2648
143	443	2637
144	447	2637
145	450	2632
146	451	2622
147	453	2613
148	455	2604
149	457	2594
150	459	2585
151	463	2585
152	469	2598
153	471	2590
154	473	2582
155	475	2573
156	478	2569
157	483	2577
158	486	2572
159	488	2563
160	489	2553
161	493	2554
162	495	2544
163	498	2539
164	500	2533
165	502	2524
166	505	2519
167	508	2518
168	511	2515
169	513	2507
170	516	2503
171	518	2496
172	525	2511
173	527	2505
174	529	2498
175	532	2493
176	535	2489
177	539	2489
178	541	2485
179	544	2478
180	546	2473
181	549	2469
182	552	2465
183	559	2480
184	562	2476
185	564	2469
186	566	2461
187	572	2471
188	575	2469
189	577	2461
190	579	2453
191	581	2446
192	584	2443
193	586	2438
194	588	2431
195	591	2424
196	592	2416
197	596	2414
198	599	2412
199	601	2405
200	603	2399
201	605	2390
202	609	2394
203	612	2391
204	615	2387
205	618	2382
206	620	2375
207	622	2369
208	624	2364
209	634	2385
210	637	2383
211	639	2377
212	642	2373
213	644	2366
214	649	2369
215	651	2365
216	654	2363
217	657	2359
218	660	2355
219	662	2348
220	667	2353
221	670	2349
222	673	2346
223	675	2341
224	678	2335
225	680	2329
226	682	2325
227	689	2333
228	691	2328
229	693	2322
230	695	2315
231	697	2308
232	699	2303
233	703	2304
234	706	2299
235	708	2293
236	711	2290
237	719	2303
238	721	2297
239	724	2292
240	728	2292
241	735	2303
242	737	2296
243	739	2290
244	741	2284
245	743	2279
246	746	2276
247	749	2272
248	751	2267
249	754	2262
250	757	2260
251	761	2260
252	763	2255
253	766	2250
254	768	2245
255	770	2240
256	775	2243
257	779	2242
258	782	2238
259	785	2234
260	787	2229
261	789	2224
262	791	2219
263	794	2214
264	799	2216
265	801	2210
266	803	2204
267	808	2208
268	810	2202
269	813	2199
270	816	2195
271	818	2189
272	821	2186
273	824	2184
274	828	2183
275	830	2179
276	832	2174
277	836	2172
278	842	2177
279	844	2172
280	846	2166
281	849	2163
282	852	2158
283	861	2171
284	867	2177
285	871	2175
286	874	2171
287	877	2168
288	880	2165
289	883	2162
290	886	2159
291	888	2154
292	890	2148
293	892	2143
294	896	2143
295	899	2138
296	904	2141
297	908	2140
298	911	2136
299	914	2134
300	917	2130
301	922	2131
302	927	2132
303	929	2128
304	932	2124
305	934	2119
306	939	2121
